Record Length,1.00E+00,,0,0
Sample Interval,1.00E+00,,2000,0
Trigger Point,1.00E+00,,2001,6.336996337
,,,2002,8.658240416
,,,2003,9.508512973
,,,2004,9.819968122
Source,CH1,,2005,9.934054257
Vertical Units,A,,2006,9.97584405
Vertical Scale,1.00E+01,,2007,9.991151667
Vertical Offset,0.00E+00,,2008,9.996758852
Horizontal Units,s,,2009,9.998812766
Horizontal Scale,1.00E+00,,2010,9.999565116
Pt Fmt,Y,,2011,9.999840702
Yzero,0.00E+00,,2012,9.999941649
Probe Atten,1.00E+02,,2013,9.999978626
Model Number,TBS1072B-EDU,,2014,9.999992171
Serial Number,C016071,,2015,9.999997132
Firmware Version,FV:v4.06,,2016,9.99999895
,,,2017,9.999999615
,,,2018,9.999999859
,,,2019,9.999999948
,,,2020,9.999999981
,,,2021,9.999999993
,,,2022,9.999999997
,,,2023,9.999999999
,,,2024,10
,,,2025,10
,,,2026,10
,,,2027,10
,,,2028,10
,,,2029,10
,,,2030,10
,,,2031,10
,,,2032,10
,,,2033,10
,,,2034,10
,,,2035,10
,,,2036,10
,,,2037,10
,,,2038,10
,,,2039,10
,,,2040,10
,,,2041,10
,,,2042,10
,,,2043,10
,,,2044,10
,,,2045,10
,,,2046,10
,,,2047,10
,,,2048,10
,,,2049,10
,,,2050,10
,,,2051,10
,,,2052,10
,,,2053,10
,,,2054,10
,,,2055,10
,,,2056,10
,,,2057,10
,,,2058,10
,,,2059,10
,,,2060,10
,,,2061,10
,,,2062,10
,,,2063,10
,,,2064,10
,,,2065,10
,,,2066,10
,,,2067,10
,,,2068,10
,,,2069,10
,,,2070,10
,,,2071,10
,,,2072,10
,,,2073,10
,,,2074,10
,,,2075,10
,,,2076,10
,,,2077,10
,,,2078,10
,,,2079,10
,,,2080,10
,,,2081,10
,,,2082,10
,,,2083,10
,,,2084,10
,,,2085,10
,,,2086,10
,,,2087,10
,,,2088,10
,,,2089,10
,,,2090,10
,,,2091,10
,,,2092,10
,,,2093,10
,,,2094,10
,,,2095,10
,,,2096,10
,,,2097,10
,,,2098,10
,,,2099,10
,,,2100,10
,,,2101,10
,,,2102,10
,,,2103,10
,,,2104,10
,,,2105,10
,,,2106,10
,,,2107,10
,,,2108,10
,,,2109,10
,,,2110,10
,,,2111,10
,,,2112,10
,,,2113,10
,,,2114,10
,,,2115,10
,,,2116,10
,,,2117,10
,,,2118,10
,,,2119,10
,,,2120,10
,,,2121,10
